beat,position,pitch,duration,program
0,8,44,21,0
1,2,56,18,0
1,8,60,14,0
2,2,63,6,0
2,8,46,12,0
3,2,58,19,0
3,8,62,14,0
4,8,36,21,0
5,2,43,15,0
5,8,48,9,0
6,2,55,12,0
6,8,63,22,0
7,2,60,8,0
7,8,55,7,0
8,2,60,5,0
8,8,44,4,0
8,11,44,1,0
8,11,51,13,0
9,2,56,7,0
9,5,60,5,0
9,8,68,12,0
9,11,56,4,0
10,2,63,6,0
10,5,60,4,0
10,8,46,23,0
11,2,58,10,0
11,8,62,60,0
12,2,58,54,0
12,8,46,37,0
12,8,65,48,0
16,8,36,19,0
16,8,60,11,0
17,2,43,12,0
17,8,63,12,0
18,2,55,5,0
18,2,60,7,0
18,8,46,20,0
18,8,62,9,0
19,2,50,17,0
19,8,53,10,0
20,2,55,4,0
20,8,44,13,0
20,8,63,5,0
21,2,56,10,0
21,2,62,5,0
21,8,60,6,0
21,8,63,12,0
22,2,56,6,0
22,2,58,5,0
22,8,39,15,0
22,8,55,8,0
23,2,51,9,0
23,8,63,12,0
24,2,55,8,0
24,8,41,14,0
24,8,53,7,0
25,2,48,9,0
25,8,60,11,0
25,8,63,10,0
26,2,56,6,0
26,8,46,16,0
26,8,62,9,0
27,2,58,7,0
27,2,60,3,0
27,8,58,3,0
27,8,62,13,0
28,2,53,4,0
28,8,39,15,0
28,8,55,18,0
29,2,51,11,0
29,8,63,13,0
30,2,58,7,0
30,8,43,17,0
31,2,50,10,0
31,8,62,14,0
32,2,55,5,0
32,2,58,7,0
32,8,36,14,0
32,8,60,13,0
33,2,43,9,0
33,8,63,11,0
34,2,55,6,0
34,2,55,8,0
34,8,46,17,0
34,8,62,12,0
35,2,50,17,0
35,8,53,11,0
35,8,65,11,0
36,2,55,4,0
36,2,58,5,0
36,8,44,12,0
36,8,63,5,0
37,2,56,5,0
37,2,62,6,0
37,8,46,8,0
37,8,63,5,0
38,2,58,8,0
38,2,65,5,0
38,8,39,13,0
38,8,67,11,0
39,2,51,9,0
39,8,63,11,0
40,2,55,7,0
40,8,41,18,0
40,8,65,5,0
41,2,48,17,0
41,8,60,7,0
41,8,60,13,0
42,2,56,6,0
42,8,43,16,0
42,8,62,10,0
43,2,50,9,0
43,8,62,13,0
44,2,58,5,0
44,2,58,6,0
44,8,36,38,0
44,8,60,20,0
45,2,43,32,0
45,8,48,15,0
46,2,63,16,0
46,8,60,11,0
47,2,48,8,0
47,8,63,11,0
48,8,37,39,0
48,8,65,6,0
49,2,49,31,0
49,8,53,38,0
50,2,56,31,0
50,2,60,6,0
50,8,61,25,0
50,8,63,11,0
52,2,61,6,0
52,8,36,17,0
52,8,60,7,0
53,2,43,11,0
53,2,63,4,0
53,8,48,11,0
53,8,63,4,0
54,2,51,6,0
54,2,65,6,0
54,8,41,13,0
54,8,60,11,0
55,2,48,7,0
55,5,56,1,0
55,8,56,12,0
55,8,60,12,0
56,2,53,6,0
56,2,56,4,0
56,8,46,40,0
56,8,58,7,0
57,2,58,21,0
57,8,61,7,0
58,2,65,5,0
58,2,65,17,0
58,8,61,11,0
58,8,65,5,0
59,5,63,6,0
59,8,58,2,0
59,8,61,13,0
59,8,65,13,0
60,2,58,6,0
60,2,65,4,0
60,8,36,27,0
60,8,67,24,0
61,2,43,22,0
61,8,48,7,0
62,2,52,5,0
62,5,55,1,0
62,8,48,6,0
62,8,52,6,0
62,8,55,6,0
63,2,36,8,0
63,8,55,11,0
63,8,60,11,0
63,8,64,11,0
63,8,65,4,0
64,2,67,4,0
64,8,41,16,0
64,8,68,7,0
64,11,48,10,0
65,2,53,4,0
65,5,56,3,0
65,8,60,11,0
65,8,72,9,0
65,11,48,2,0
66,2,56,5,0
66,5,52,1,0
66,5,53,3,0
66,8,39,18,0
66,8,67,9,0
66,11,46,13,0
67,2,51,7,0
67,5,55,5,0
67,8,63,10,0
67,11,51,2,0
68,2,58,4,0
68,5,55,3,0
68,8,37,18,0
68,8,65,4,0
