beat,position,pitch,duration,program
0,8,40,32,0
0,11,47,9,0
1,2,52,4,0
1,8,52,4,0
1,8,59,6,0
2,8,47,9,0
2,11,52,4,0
3,5,52,4,0
3,5,59,6,0
3,8,40,19,0
3,11,47,15,0
4,2,52,1,0
4,5,52,8,0
4,5,64,8,0
5,8,45,21,0
5,8,52,3,0
5,8,57,6,0
6,5,52,2,0
6,5,61,2,0
6,11,57,3,0
7,2,52,2,0
7,5,57,5,0
7,8,45,19,0
8,8,52,3,0
8,8,57,4,0
9,8,52,1,0
9,8,57,3,0
9,11,52,2,0
10,2,57,1,0
10,5,60,7,0
10,8,45,21,0
10,11,57,3,0
11,2,52,1,0
11,5,57,2,0
12,2,52,1,0
12,2,60,7,0
12,5,52,2,0
12,8,40,21,0
12,11,47,18,0
13,2,52,1,0
13,5,52,5,0
13,5,59,4,0
14,5,52,6,0
14,5,59,10,0
14,8,40,25,0
14,11,47,7,0
15,2,52,1,0
15,5,52,4,0
15,5,59,4,0
15,5,64,4,0
15,8,47,12,0
15,11,59,4,0
16,2,52,6,0
16,5,59,3,0
16,8,40,1,0
16,8,59,1,0
16,8,64,7,0
17,2,47,7,0
17,8,59,4,0
17,8,64,5,0
17,8,67,5,0
18,2,47,4,0
18,5,59,5,0
18,8,40,16,0
18,11,47,11,0
19,2,59,4,0
19,5,64,1,0
19,8,59,4,0
19,8,64,5,0
19,8,67,6,0
19,11,47,3,0
20,2,40,2,0
20,8,45,15,0
20,8,57,6,0
20,8,61,6,0
21,2,52,7,0
21,8,57,5,0
21,8,64,6,0
22,2,52,4,0
22,5,57,6,0
22,5,64,8,0
22,8,45,16,0
22,11,52,10,0
23,2,57,4,0
23,5,64,2,0
23,8,57,4,0
23,8,64,6,0
23,8,69,5,0
23,11,52,2,0
24,2,45,2,0
24,8,36,1,0
24,8,55,9,0
24,8,60,10,0
25,8,60,3,0
25,8,64,4,0
25,11,48,1,0
26,2,48,2,0
26,2,55,4,0
26,5,60,6,0
26,8,48,10,0
26,11,55,7,0
27,2,60,4,0
27,5,67,2,0
27,8,50,5,0
27,8,62,4,0
27,8,66,6,0
27,11,57,3,0
28,2,62,4,0
28,5,66,2,0
28,8,40,21,0
28,8,64,3,0
28,8,67,4,0
29,2,47,7,0
29,8,52,5,0
29,8,59,5,0
30,2,47,3,0
30,5,52,4,0
30,5,59,4,0
30,8,40,22,0
30,11,47,7,0
31,2,52,2,0
31,5,52,4,0
31,5,59,4,0
31,5,64,4,0
31,8,47,6,0
31,11,52,1,0
31,11,59,4,0
32,2,52,6,0
32,5,59,3,0
32,8,40,15,0
32,8,59,1,0
32,8,64,7,0
33,2,47,7,0
33,8,59,4,0
33,8,64,5,0
33,8,67,5,0
34,2,47,4,0
34,5,59,5,0
34,8,40,16,0
34,11,47,11,0
35,2,59,4,0
35,5,64,1,0
35,8,59,4,0
35,8,64,5,0
35,8,67,6,0
35,11,47,3,0
36,2,40,2,0
36,8,45,15,0
36,8,57,6,0
36,8,61,6,0
37,2,52,7,0
37,8,57,5,0
37,8,64,6,0
38,2,52,4,0
38,5,57,6,0
38,5,64,8,0
38,8,45,16,0
38,11,52,10,0
39,2,57,4,0
39,5,64,2,0
39,8,57,4,0
39,8,64,6,0
39,8,69,5,0
39,11,52,2,0
40,2,45,2,0
40,8,36,1,0
40,8,55,9,0
40,8,60,10,0
41,8,60,3,0
41,8,64,4,0
41,11,48,1,0
42,2,48,2,0
42,2,55,4,0
42,5,60,6,0
42,8,48,10,0
42,11,55,7,0
43,2,60,4,0
43,5,67,2,0
43,8,50,5,0
43,8,62,4,0
43,8,66,6,0
43,11,57,3,0
44,2,62,4,0
44,5,66,2,0
44,8,40,21,0
44,8,64,3,0
44,8,67,4,0
45,2,47,7,0
45,8,52,5,0
45,8,59,5,0
46,2,47,3,0
46,5,52,4,0
46,5,59,4,0
46,8,40,22,0
46,11,47,7,0
47,2,52,2,0
47,2,64,5,0
47,5,52,4,0
47,5,59,4,0
47,5,64,4,0
47,8,47,6,0
47,8,71,3,0
47,11,52,1,0
47,11,59,4,0
47,11,69,3,0
48,2,52,6,0
48,2,67,6,0
48,5,59,3,0
48,8,40,21,0
48,8,52,1,0
48,8,59,1,0
48,8,71,22,0
49,2,47,6,0
49,5,52,1,0
49,8,52,2,0
49,8,64,2,0
49,11,47,5,0
50,2,52,2,0
50,5,52,10,0
50,5,59,10,0
50,8,40,19,0
51,2,71,3,0
51,5,52,1,0
51,5,71,3,0
51,8,52,3,0
51,8,59,4,0
51,8,74,5,0
51,11,47,3,0
52,2,52,2,0
52,2,76,5,0
52,8,45,16,0
52,8,52,3,0
52,8,57,6,0
52,8,71,5,0
53,2,52,1,0
53,2,69,16,0
53,5,52,3,0
53,5,61,3,0
53,11,52,2,0
53,11,57,4,0
54,5,52,2,0
54,8,45,18,0
54,11,52,6,0
55,2,57,1,0
55,5,57,3,0
55,5,64,2,0
55,8,52,5,0
55,11,57,3,0
55,11,64,2,0
56,5,67,3,0
56,8,45,18,0
56,8,57,6,0
56,8,60,7,0
56,8,69,3,0
56,11,67,3,0
57,2,52,4,0
57,2,69,3,0
57,5,57,5,0
57,5,64,6,0
57,5,67,3,0
57,8,52,6,0
57,8,69,9,0
57,11,60,3,0
58,5,67,3,0
58,8,48,10,0
58,8,55,2,0
58,8,60,4,0
58,8,69,3,0
58,11,55,3,0
58,11,67,3,0
59,2,60,1,0
59,2,69,3,0
59,5,55,4,0
59,5,60,3,0
59,5,64,5,0
59,5,67,2,0
59,8,71,4,0
59,11,55,1,0
59,11,60,4,0
60,2,55,1,0
60,2,71,4,0
60,8,40,21,0
60,8,59,3,0
60,8,64,4,0
60,8,69,2,0
60,11,47,16,0
60,11,67,3,0
61,2,59,1,0
61,2,64,19,0
61,5,59,1,0
61,5,67,2,0
61,11,59,1,0
61,11,64,1,0
62,5,59,3,0
62,8,40,16,0
62,8,64,6,0
62,11,47,11,0
63,2,59,1,0
63,2,64,4,0
63,5,59,2,0
63,5,67,2,0
63,8,71,4,0
63,11,69,3,0
64,2,67,6,0
64,8,40,22,0
64,8,52,4,0
64,8,59,4,0
64,8,71,25,0
64,11,47,18,0
65,2,52,2,0
65,5,52,1,0
65,5,59,3,0
65,11,64,1,0
66,5,52,4,0
66,8,40,15,0
66,11,47,7,0
66,11,71,2,0
67,2,52,1,0
67,2,71,2,0
67,5,52,4,0
67,5,59,3,0
67,5,71,3,0
67,8,47,3,0
67,8,74,4,0
67,11,52,2,0
67,11,64,2,0
68,2,76,4,0
68,8,45,21,0
68,8,57,5,0
68,8,61,6,0
68,8,71,6,0
69,2,52,4,0
69,2,69,24,0
69,5,52,1,0
69,5,57,2,0
69,5,64,2,0
69,11,57,1,0
69,11,69,1,0
70,5,57,5,0
70,8,45,16,0
70,11,52,7,0
71,2,57,1,0
71,5,57,3,0
71,5,64,3,0
71,8,52,3,0
71,11,57,1,0
71,11,64,1,0
72,2,69,2,0
72,5,71,2,0
72,8,45,14,0
72,8,57,3,0
72,8,60,5,0
72,8,72,2,0
72,11,52,7,0
72,11,71,2,0
73,2,57,1,0
73,2,72,3,0
73,5,57,4,0
73,5,60,5,0
73,5,71,2,0
73,8,72,8,0
73,11,57,1,0
73,11,60,3,0
74,5,71,2,0
74,8,48,10,0
74,8,55,1,0
74,8,60,3,0
74,8,72,2,0
74,11,55,3,0
74,11,71,2,0
75,2,60,1,0
75,2,72,2,0
75,5,55,4,0
75,5,60,3,0
75,5,64,4,0
75,5,76,2,0
75,8,78,4,0
75,11,55,2,0
75,11,60,2,0
76,2,76,5,0
76,8,47,18,0
76,8,59,6,0
76,8,63,6,0
76,8,71,25,0
77,2,54,3,0
77,5,59,4,0
77,5,63,3,0
77,5,66,4,0
77,8,54,4,0
77,11,59,1,0
77,11,63,3,0
77,11,66,4,0
77,11,71,3,0
78,5,59,1,0
78,8,47,23,0
78,8,59,9,0
78,8,63,10,0
78,8,66,10,0
79,2,76,1,0
79,5,54,4,0
79,5,76,2,0
79,8,59,3,0
79,8,71,2,0
79,11,54,8,0
79,11,69,2,0
80,2,59,5,0
80,2,67,5,0
80,8,40,21,0
80,8,52,6,0
80,8,59,8,0
80,8,71,15,0
81,2,47,6,0
81,5,52,1,0
81,8,52,2,0
81,8,64,2,0
81,11,47,5,0
82,2,52,2,0
82,5,52,10,0
82,5,59,10,0
82,8,40,19,0
83,2,71,2,0
83,5,52,1,0
83,5,71,2,0
83,8,52,3,0
83,8,59,4,0
83,8,74,5,0
83,11,47,3,0
84,2,52,2,0
84,2,76,5,0
84,8,45,16,0
84,8,52,3,0
84,8,57,6,0
84,8,71,5,0
85,2,52,1,0
85,2,69,21,0
85,5,52,3,0
85,5,61,3,0
85,11,52,2,0
85,11,57,4,0
86,5,52,2,0
86,8,45,18,0
86,11,52,6,0
87,2,57,1,0
87,5,57,3,0
87,5,64,2,0
87,8,52,5,0
87,11,57,3,0
87,11,64,2,0
88,5,67,2,0
88,8,45,18,0
88,8,57,6,0
88,8,60,7,0
88,8,69,2,0
88,11,67,1,0
89,2,52,4,0
89,2,69,2,0
89,5,57,5,0
89,5,64,6,0
89,5,67,2,0
89,8,52,6,0
89,8,69,7,0
89,11,60,3,0
90,5,67,2,0
90,8,48,10,0
90,8,55,2,0
90,8,60,4,0
90,8,69,2,0
90,11,55,3,0
90,11,67,2,0
91,2,60,1,0
91,2,69,2,0
91,5,55,4,0
91,5,60,3,0
91,5,64,5,0
91,5,67,2,0
91,8,71,4,0
91,11,55,1,0
91,11,60,4,0
92,2,55,1,0
92,2,71,4,0
92,8,40,21,0
92,8,59,3,0
92,8,64,4,0
92,8,69,2,0
92,11,47,16,0
92,11,67,2,0
93,2,59,1,0
93,2,64,20,0
93,5,59,1,0
93,5,67,2,0
93,11,59,1,0
93,11,64,1,0
94,5,59,3,0
94,8,40,16,0
94,8,64,6,0
94,11,47,11,0
95,2,59,1,0
95,2,64,2,0
95,5,59,2,0
95,5,64,2,0
95,5,67,2,0
95,8,71,2,0
95,11,69,3,0
96,2,67,5,0
96,8,40,22,0
96,8,52,4,0
96,8,59,4,0
96,8,71,22,0
96,11,47,18,0
97,2,52,2,0
97,5,52,1,0
97,5,59,3,0
97,11,64,1,0
98,5,52,4,0
98,8,40,15,0
98,11,47,7,0
99,2,52,1,0
99,2,71,2,0
99,5,52,4,0
99,5,59,3,0
99,5,71,2,0
99,8,47,3,0
99,8,74,4,0
99,11,52,2,0
99,11,64,2,0
100,2,76,4,0
100,8,45,21,0
100,8,57,5,0
100,8,61,6,0
100,8,71,8,0
101,2,52,4,0
101,5,52,1,0
101,5,57,2,0
101,5,64,2,0
101,5,69,27,0
101,11,57,1,0
101,11,69,1,0
102,5,57,5,0
102,8,45,16,0
102,11,52,7,0
103,2,57,1,0
103,5,57,3,0
103,5,64,3,0
103,8,52,3,0
103,11,57,1,0
103,11,64,1,0
104,2,69,2,0
104,5,71,2,0
104,8,45,14,0
104,8,57,3,0
104,8,60,5,0
104,8,72,2,0
104,11,52,7,0
104,11,71,2,0
105,2,57,1,0
105,2,72,2,0
105,5,57,4,0
105,5,60,5,0
105,5,71,2,0
105,8,72,7,0
105,11,57,1,0
105,11,60,3,0
106,5,71,2,0
106,8,48,10,0
106,8,55,1,0
106,8,60,3,0
106,8,72,1,0
106,11,55,3,0
106,11,71,1,0
107,2,60,1,0
107,2,72,1,0
107,5,55,4,0
107,5,60,3,0
107,5,64,4,0
107,5,76,2,0
107,8,78,4,0
107,11,55,2,0
107,11,60,2,0
108,2,76,4,0
108,8,47,18,0
108,8,59,6,0
108,8,63,6,0
108,8,78,26,0
109,2,54,3,0
109,5,59,4,0
109,5,63,3,0
109,5,66,4,0
109,8,54,4,0
109,11,59,1,0
109,11,63,3,0
109,11,66,4,0
109,11,71,3,0
110,5,59,1,0
110,8,47,2,0
110,8,59,2,0
110,8,63,2,0
110,8,66,2,0
110,11,47,2,0
110,11,59,2,0
110,11,63,1,0
110,11,66,2,0
111,8,47,2,0
111,8,59,1,0
111,8,63,1,0
111,8,66,1,0
111,8,79,4,0
111,11,47,2,0
111,11,59,1,0
111,11,63,1,0
111,11,66,1,0
112,2,47,1,0
112,2,59,6,0
112,2,63,6,0
112,2,66,6,0
112,2,78,4,0
112,8,40,16,0
112,8,59,1,0
112,8,67,7,0
112,8,76,4,0
112,11,47,7,0
113,2,59,2,0
113,2,71,4,0
113,5,59,4,0
113,5,64,4,0
113,8,47,4,0
113,8,76,4,0
113,11,59,2,0
113,11,67,3,0
114,2,64,3,0
114,2,71,4,0
114,5,59,1,0
114,8,43,19,0
114,8,55,3,0
114,8,59,4,0
114,8,74,2,0
114,11,50,7,0
114,11,74,5,0
115,2,55,1,0
115,5,55,4,0
115,5,62,3,0
115,5,71,12,0
115,8,50,8,0
115,11,55,1,0
115,11,59,3,0
116,2,55,1,0
116,8,45,16,0
116,8,57,3,0
116,8,64,4,0
116,8,69,5,0
116,11,52,7,0
117,2,57,1,0
117,2,64,5,0
117,5,57,3,0
117,5,64,4,0
117,8,52,4,0
117,8,69,5,0
117,11,57,1,0
117,11,64,3,0
117,11,69,4,0
118,2,57,1,0
118,2,64,1,0
118,5,64,2,0
118,8,40,14,0
118,8,59,2,0
118,8,64,4,0
118,8,67,2,0
118,11,47,6,0
118,11,67,6,0
119,2,59,1,0
119,5,59,3,0
119,5,64,9,0
119,5,67,4,0
119,8,47,3,0
119,11,59,1,0
119,11,64,3,0
120,2,59,4,0
120,2,64,2,0
120,5,64,1,0
120,5,66,2,0
120,8,48,10,0
120,8,55,2,0
120,8,60,3,0
120,8,67,2,0
120,11,55,3,0
120,11,67,4,0
