beat,position,pitch,duration,program
0,4,37,36,0
0,4,49,36,0
0,4,61,36,0
0,4,64,36,0
0,4,68,36,0
3,4,37,15,0
3,4,49,18,0
3,4,61,20,0
3,4,64,19,0
3,4,68,20,0
5,4,37,36,0
5,10,44,30,0
6,4,49,16,0
6,10,61,19,0
7,4,68,24,0
7,10,49,8,0
8,4,64,11,0
8,10,61,7,0
9,4,42,34,0
9,10,49,27,0
10,4,54,15,0
10,10,57,20,0
11,4,66,26,0
11,10,54,7,0
12,4,61,15,0
12,10,57,7,0
13,4,47,35,0
13,10,54,22,0
14,4,59,14,0
14,10,63,8,0
15,4,66,21,0
15,10,54,5,0
16,4,63,13,0
16,10,59,7,0
17,4,44,40,0
17,10,51,33,0
18,4,56,14,0
18,10,60,13,0
19,4,68,25,0
19,10,56,6,0
20,4,63,13,0
20,10,60,7,0
21,4,37,41,0
21,10,44,34,0
22,1,49,5,0
22,4,56,11,0
22,10,49,7,0
23,1,52,5,0
23,4,61,10,0
23,7,49,5,0
23,10,52,9,0
24,1,49,4,0
24,4,61,12,0
24,7,49,4,0
24,10,52,5,0
25,1,56,3,0
25,4,42,22,0
25,7,49,21,0
25,10,54,7,0
26,1,57,6,0
26,4,66,14,0
26,7,54,11,0
26,10,61,9,0
27,1,57,9,0
27,4,42,16,0
27,7,49,13,0
27,10,54,7,0
28,1,57,5,0
28,4,66,11,0
28,7,54,3,0
28,10,61,5,0
29,1,57,3,0
29,4,47,22,0
29,7,54,11,0
29,10,59,7,0
30,1,63,4,0
30,4,66,9,0
30,7,54,9,0
30,10,63,7,0
31,1,59,7,0
31,4,47,10,0
31,7,54,5,0
31,10,59,6,0
32,1,63,4,0
32,4,66,13,0
32,7,63,3,0
32,10,59,6,0
33,1,63,3,0
33,4,37,21,0
33,7,44,20,0
33,10,49,7,0
34,1,52,6,0
34,4,61,10,0
34,7,49,8,0
34,10,56,4,0
35,1,52,3,0
35,4,37,24,0
35,4,49,24,0
35,4,56,24,0
35,4,61,23,0
35,4,64,24,0
37,4,37,46,0
37,4,61,6,4
37,10,44,41,0
37,10,59,6,4
38,4,49,15,0
38,4,61,5,4
38,10,56,8,0
38,10,61,2,4
39,1,64,4,4
39,4,61,41,0
39,4,63,11,4
39,4,64,44,0
39,10,49,18,0
40,4,56,19,0
40,4,61,6,4
40,10,59,6,4
41,4,37,45,0
41,4,61,32,4
41,10,44,42,0
42,4,49,15,0
42,10,56,46,0
43,4,64,27,0
43,10,49,9,0
44,4,63,26,0
44,10,49,8,0
45,4,37,37,0
45,4,61,3,4
45,10,44,31,0
45,10,61,3,4
46,1,59,4,4
46,4,49,15,0
46,4,61,5,4
46,10,56,29,0
46,10,64,6,4
47,4,61,9,4
47,4,64,19,0
47,10,49,11,0
48,4,52,5,4
48,4,63,9,0
48,10,59,7,4
48,10,61,6,0
49,4,44,38,0
49,4,56,32,4
49,10,51,31,0
50,4,56,16,0
50,10,60,8,0
51,4,63,14,0
51,4,68,25,0
51,10,56,6,0
52,4,60,13,0
52,10,63,7,0
53,4,42,34,0
53,4,54,10,4
53,10,49,28,0
54,4,54,5,4
54,4,54,14,0
54,10,56,5,4
54,10,57,8,0
55,4,59,16,4
55,4,61,15,0
55,4,66,26,0
55,10,54,3,0
56,4,57,13,0
56,10,61,7,0
57,4,37,18,0
57,4,61,3,4
57,10,44,12,0
57,10,61,2,4
58,4,49,8,0
58,4,61,1,4
58,7,61,5,4
58,10,56,7,0
59,1,64,4,4
59,4,42,14,0
59,4,66,13,4
59,10,54,9,0
60,4,61,12,0
60,4,66,12,0
60,10,57,7,0
61,4,47,13,0
61,4,66,15,4
61,10,54,7,0
62,4,63,13,0
62,4,66,13,0
62,10,59,7,0
62,10,68,3,4
63,4,44,16,0
63,4,63,5,4
63,10,51,10,0
63,10,61,4,4
64,4,56,3,0
64,4,61,6,4
64,4,63,12,0
64,4,68,13,0
64,10,59,6,0
64,10,59,6,4
65,4,37,39,0
65,4,61,31,4
65,10,44,36,0
66,4,49,14,0
66,10,56,10,0
67,4,61,25,0
67,4,64,25,0
67,10,49,12,0
68,4,56,12,0
69,1,56,2,4
69,4,37,46,0
69,4,61,4,4
69,10,44,41,0
69,10,61,4,4
70,4,49,15,0
70,4,61,4,4
70,10,56,8,0
70,10,64,3,4
71,4,61,41,0
71,4,63,2,4
71,4,64,44,0
71,10,49,18,0
71,10,63,2,4
72,1,61,9,4
72,4,56,19,0
72,10,59,7,4
73,4,37,45,0
73,4,61,9,4
73,10,44,42,0
74,4,49,15,0
74,10,56,46,0
75,4,64,27,0
75,10,49,9,0
76,4,63,26,0
76,10,49,8,0
76,10,56,2,4
77,1,56,2,4
77,4,37,37,0
77,4,61,4,4
77,10,44,31,0
77,10,61,5,4
78,4,49,15,0
78,4,61,4,4
78,10,56,29,0
78,10,64,4,4
79,4,61,6,4
79,4,64,19,0
79,10,49,11,0
80,4,52,5,4
80,4,63,9,0
80,10,59,6,4
80,10,61,6,0
81,4,44,38,0
81,4,56,24,4
81,10,51,31,0
82,4,56,16,0
82,10,60,8,0
83,4,63,14,0
83,4,68,25,0
83,10,56,6,0
84,4,60,13,0
84,10,63,7,0
85,4,42,34,0
85,4,54,5,4
85,10,49,28,0
86,4,54,5,4
86,4,54,14,0
86,10,56,4,4
86,10,57,8,0
87,4,59,12,4
87,4,61,15,0
87,4,66,26,0
87,10,54,3,0
88,4,57,13,0
88,10,59,6,4
88,10,61,7,0
89,4,37,18,0
89,4,61,9,4
89,10,44,12,0
90,4,49,8,0
90,4,61,4,4
90,10,56,7,0
90,10,64,5,4
91,4,42,14,0
91,4,66,12,4
91,10,54,9,0
92,4,61,12,0
92,4,66,12,0
92,10,57,7,0
93,4,47,13,0
93,4,66,3,4
93,10,54,7,0
93,10,66,3,4
94,4,63,13,0
94,4,66,2,4
94,4,66,13,0
94,10,59,7,0
94,10,66,2,4
95,1,68,2,4
95,4,44,16,0
95,4,63,5,4
95,10,51,10,0
95,10,61,4,4
96,4,56,3,0
96,4,61,4,4
96,4,63,12,0
96,4,68,13,0
96,10,59,5,4
96,10,59,6,0
97,4,37,39,0
97,4,61,17,4
97,10,44,36,0
98,4,49,14,0
98,10,56,10,0
99,4,61,25,0
99,4,64,25,0
99,10,49,12,0
100,4,56,12,0
101,4,37,21,0
101,7,44,21,0
101,10,49,8,0
102,1,52,5,0
102,4,56,8,0
102,7,49,10,0
102,10,52,8,0
103,1,56,4,0
103,1,61,4,0
103,7,52,2,0
103,7,56,2,0
103,7,61,2,0
103,10,49,5,0
104,1,37,12,0
104,1,44,13,0
104,4,56,5,0
104,4,61,5,0
104,7,49,8,0
104,10,52,4,0
105,1,56,2,0
105,4,37,22,0
105,4,68,5,4
105,7,44,20,0
105,10,49,7,0
106,1,52,5,0
106,1,68,1,4
106,4,61,12,0
106,4,68,4,4
106,7,49,9,0
106,10,56,6,0
106,10,68,3,4
107,1,52,3,0
107,4,37,13,0
107,4,68,4,4
107,7,44,10,0
107,10,49,9,0
107,10,66,1,4
108,1,61,5,0
108,1,66,4,4
108,4,68,10,0
108,7,61,4,0
108,10,64,2,4
108,10,64,4,0
109,1,61,3,0
109,1,66,2,4
109,4,42,21,0
109,4,66,17,4
109,7,49,19,0
109,10,54,7,0
110,1,57,6,0
110,4,66,11,0
110,7,54,9,0
110,10,61,5,0
111,1,57,2,0
111,4,42,16,0
111,7,49,13,0
111,10,54,7,0
112,1,66,5,0
112,4,73,10,0
112,7,54,2,0
112,10,69,4,0
113,1,66,3,0
113,4,47,22,0
113,4,66,5,4
113,7,54,11,0
113,10,59,8,0
114,1,63,11,0
114,1,66,2,4
114,4,66,4,4
114,4,66,12,0
114,7,54,8,0
114,10,59,6,0
114,10,66,2,4
115,1,63,3,0
115,1,64,2,4
115,4,47,16,0
115,4,66,4,4
115,7,54,12,0
115,10,59,7,0
116,1,71,5,0
116,4,64,2,4
116,4,78,12,0
116,7,61,4,4
116,7,75,3,0
116,10,71,5,0
117,1,61,2,4
117,1,75,3,0
117,4,44,22,0
117,4,63,23,4
117,7,51,21,0
117,10,56,7,0
118,1,60,4,0
118,4,63,6,0
118,7,56,11,0
118,10,60,7,0
119,1,68,5,0
119,4,44,17,0
119,7,51,14,0
119,10,56,7,0
120,1,68,5,0
120,4,75,11,0
120,7,56,3,0
120,10,72,3,0
121,1,68,3,0
121,4,49,17,0
121,4,61,3,4
121,7,52,13,0
121,10,56,7,0
121,10,61,2,4
122,1,61,5,0
122,4,61,6,4
122,4,68,10,0
122,7,56,2,0
122,10,61,4,0
123,1,64,3,0
123,1,64,3,4
123,4,42,16,0
123,4,66,13,4
123,7,49,12,0
123,10,54,6,0
124,1,57,5,0
124,4,66,11,0
124,7,54,3,0
124,10,61,5,0
125,1,57,3,0
125,4,44,20,0
125,4,68,8,4
125,7,51,15,0
125,10,56,7,0
126,1,59,6,0
126,4,68,10,0
126,4,71,4,4
126,7,56,3,0
126,7,68,3,4
126,10,63,4,0
126,10,66,6,4
127,1,59,2,0
127,4,40,17,0
127,4,64,12,4
127,7,47,14,0
127,10,52,7,0
128,1,59,6,0
128,4,68,10,0
128,7,52,3,0
128,10,64,4,0
129,1,59,4,0
129,4,47,16,0
129,4,59,3,4
129,7,54,10,0
129,10,59,3,4
129,10,59,6,0
130,1,63,3,0
130,4,59,4,4
130,4,66,11,0
130,7,54,3,0
130,10,61,4,4
130,10,63,5,0
131,1,59,3,0
131,4,44,17,0
131,4,63,6,4
131,7,56,10,0
131,10,59,6,0
131,10,63,2,4
132,1,63,3,0
132,1,66,6,4
132,4,68,11,0
132,7,56,3,0
132,10,59,2,4
132,10,59,5,0
133,1,61,2,4
133,1,63,2,0
133,4,49,18,0
133,4,61,27,4
133,7,52,14,0
133,10,56,6,0
134,1,61,5,0
134,4,68,10,0
134,7,56,2,0
134,10,64,3,0
135,1,37,1,0
135,1,61,5,0
135,4,37,22,0
135,7,49,10,0
135,10,61,8,0
136,1,64,2,0
136,4,68,11,0
136,7,49,6,0
136,10,64,4,0
137,1,61,3,0
137,4,37,22,0
137,4,68,5,4
137,7,44,20,0
137,10,49,7,0
138,1,52,5,0
138,1,68,1,4
138,4,61,12,0
138,4,68,5,4
138,7,49,9,0
138,10,56,6,0
138,10,68,2,4
139,1,52,3,0
139,4,37,13,0
139,4,71,4,4
139,7,44,10,0
139,10,49,9,0
139,10,68,1,4
140,1,61,5,0
140,1,68,3,4
140,4,68,10,0
140,7,61,4,0
140,10,64,3,4
140,10,64,4,0
141,1,61,3,0
141,1,66,2,4
141,4,42,21,0
141,4,66,31,4
141,7,49,19,0
141,10,54,7,0
142,1,57,6,0
142,4,66,11,0
142,7,54,9,0
142,10,61,5,0
143,1,57,2,0
143,4,42,16,0
143,7,49,13,0
143,10,54,7,0
144,1,66,5,0
144,4,73,10,0
144,7,54,2,0
144,10,69,4,0
145,1,56,2,4
145,1,66,3,0
145,4,47,22,0
145,4,66,6,4
145,7,54,11,0
145,10,59,8,0
146,1,63,11,0
146,1,66,2,4
146,4,66,4,4
146,4,66,12,0
146,7,54,8,0
146,10,59,6,0
146,10,64,4,4
147,1,63,3,0
147,4,47,16,0
147,4,66,7,4
147,7,54,12,0
147,10,59,7,0
148,1,71,5,0
148,4,64,4,4
148,4,78,12,0
148,7,75,3,0
148,10,61,5,4
148,10,71,5,0
149,1,75,3,0
149,4,44,22,0
149,4,63,24,4
149,7,51,21,0
149,10,56,7,0
150,1,60,4,0
150,4,63,6,0
150,7,56,11,0
150,10,60,7,0
151,1,68,5,0
151,4,44,17,0
151,7,51,14,0
151,10,56,7,0
152,1,68,5,0
152,4,75,11,0
152,7,56,3,0
152,10,72,3,0
153,1,68,3,0
153,4,49,17,0
153,4,61,2,4
153,7,52,13,0
153,10,56,7,0
153,10,61,3,4
154,1,61,5,0
154,4,61,3,4
154,4,68,10,0
154,7,56,2,0
154,10,61,2,4
154,10,61,4,0
155,1,64,2,4
155,1,64,3,0
155,4,40,23,0
155,4,64,15,4
155,7,47,18,0
155,10,52,8,0
156,1,56,4,0
156,4,64,13,0
156,7,52,4,0
156,10,59,6,0
157,1,56,3,0
157,4,44,20,0
157,4,68,10,4
157,7,51,15,0
157,10,56,7,0
158,1,59,6,0
158,4,68,10,0
158,4,71,5,4
158,7,56,3,0
158,10,63,4,0
158,10,66,5,4
159,1,59,2,0
159,4,40,17,0
159,4,64,12,4
159,7,47,14,0
159,10,52,7,0
160,1,59,6,0
160,4,68,10,0
160,7,52,3,0
160,10,64,4,0
161,1,59,4,0
161,4,47,16,0
161,4,59,4,4
161,7,54,10,0
161,10,59,4,4
161,10,59,6,0
162,1,63,3,0
162,4,59,3,4
162,4,66,11,0
162,7,54,3,0
162,10,59,3,4
162,10,63,5,0
163,1,59,3,0
163,1,61,2,4
163,4,44,17,0
163,4,63,8,4
163,7,56,10,0
163,10,59,6,0
164,1,63,3,0
