beat,position,pitch,duration,program
0,2,50,48,0
0,8,57,42,0
1,2,62,5,0
1,8,64,5,0
2,2,65,24,0
4,2,50,35,0
4,9,57,28,0
5,2,64,24,0
5,8,65,20,0
6,2,69,15,0
8,2,50,25,0
8,2,69,24,4
8,8,57,19,0
9,2,62,13,0
10,2,48,18,0
10,2,67,19,4
10,7,55,13,0
11,2,74,10,0
12,2,46,19,0
12,2,65,24,4
12,2,74,24,0
12,8,62,6,0
13,2,65,12,0
13,8,70,6,0
14,2,74,24,0
16,2,65,24,4
16,8,57,19,0
17,2,62,13,0
18,2,48,18,0
18,2,64,19,4
18,7,55,13,0
19,2,74,10,0
19,8,65,7,4
20,2,46,19,0
20,2,62,39,4
20,2,74,24,0
20,8,62,6,0
21,2,65,12,0
21,8,70,6,0
22,2,74,24,0
24,2,46,17,0
24,9,53,9,0
25,2,65,12,0
25,8,62,6,0
26,3,48,15,0
26,9,55,17,0
27,3,64,13,0
27,8,60,7,0
28,2,45,15,0
28,8,52,9,0
29,2,64,11,0
29,8,60,4,0
29,11,57,5,0
30,2,38,15,0
30,8,45,10,0
31,2,65,12,0
31,8,62,6,0
31,11,57,4,0
32,2,43,16,0
32,8,50,12,0
33,2,62,12,0
33,8,58,6,0
34,2,45,16,0
34,8,52,10,0
35,2,64,13,0
35,8,60,6,0
36,2,38,46,0
36,8,45,43,0
37,2,50,28,0
37,8,52,7,0
38,2,53,7,0
38,8,57,4,0
39,2,62,5,4
39,3,62,11,0
39,8,64,5,4
40,2,38,16,0
40,2,65,11,4
40,8,45,10,0
41,2,57,5,4
41,2,65,12,0
41,8,65,5,4
42,2,36,13,0
42,2,64,7,4
42,8,55,21,0
43,2,62,5,4
43,2,64,12,0
43,8,60,5,4
44,2,46,16,0
44,2,62,11,4
44,8,58,6,0
45,1,62,13,0
45,2,60,5,4
45,8,58,6,0
45,8,62,6,4
46,2,41,13,0
46,2,57,7,4
46,8,53,18,0
47,2,60,12,0
47,2,62,5,4
47,8,57,6,0
47,8,64,6,4
48,2,38,17,0
48,2,65,7,4
48,8,45,10,0
49,2,57,5,4
49,2,65,12,0
49,8,62,6,0
49,8,65,6,4
